rank;personName;age;finalWorth;category;source;country;state;city;organization;selfMade;gender;birthDate;title;philanthropyScore
1;Elon Musk;50.0;219000;Automotive;Tesla, SpaceX;United States;Texas;Austin;Tesla;True;M;6/28/1971;CEO;1.0
2;Jeff Bezos;58.0;171000;Technology;Amazon;United States;Washington;Seattle;Amazon;True;M;1/12/1964;Entrepreneur;1.0
3;Bernard Arnault & family;73.0;158000;Fashion & Retail;LVMH;France;;Paris;LVMH Moët Hennessy Louis Vuitton;False;M;3/5/1949;Chairman and CEO;1.0
4;Bill Gates;66.0;129000;Technology;Microsoft;United States;Washington;Medina;Bill & Melinda Gates Foundation;True;M;10/28/1955;Cofounder;4.0
5;Warren Buffett;91.0;118000;Finance & Investments;Berkshire Hathaway;United States;Nebraska;Omaha;Berkshire Hathaway;True;M;8/30/1930;CEO;5.0
6;Larry Page;49.0;111000;Technology;Google;United States;California;Palo Alto;Alphabet;True;M;3/26/1973;Entrepreneur;1.0
7;Sergey Brin;48.0;107000;Technology;Google;United States;California;Los Altos;Alphabet;True;M;8/21/1973;Cofounder and board member;1.0
8;Larry Ellison;77.0;106000;Technology;software;United States;Hawaii;Lanai;Oracle;True;M;8/17/1944;CTO and Founder;1.0
9;Steve Ballmer;66.0;91400;Technology;Microsoft;United States;Washington;Hunts Point;Los Angeles Clippers;True;M;3/24/1956;Owner;2.0
10;Mukesh Ambani;64.0;90700;Diversified;diversified;India;;Mumbai;Reliance Industries;False;M;4/19/1957;Founder and Chairman;1.0
11;Gautam Adani & family;59.0;90000;Diversified;infrastructure, commodities;India;;Ahmedabad;;True;M;6/24/1962;;1.0
12;Michael Bloomberg;80.0;82000;Media & Entertainment;Bloomberg LP;United States;New York;New York;Bloomberg L.P.;True;M;2/14/1942;CEO;4.0
13;Carlos Slim Helu & family;82.0;81200;Telecom;telecom;Mexico;;Mexico City;América Móvil;True;M;1/28/1940;Honorary Chairman;1.0
14;Francoise Bettencourt Meyers & family;68.0;74800;Fashion & Retail;L'Oréal;France;;Paris;;False;F;7/10/1953;;1.0
15;Mark Zuckerberg;37.0;67300;Technology;Facebook;United States;California;Palo Alto;Meta Platforms;True;M;5/14/1984;Cofounder;2.0
16;Jim Walton;73.0;66200;Fashion & Retail;Walmart;United States;Arkansas;Bentonville;Arvest Bank Group, Inc.;False;M;6/7/1948;Chairman and CEO;1.0
17;Zhong Shanshan;67.0;65700;Food & Beverage;beverages, pharmaceuticals;China;;Hangzhou;;True;M;12/1/1954;;1.0
18;Alice Walton;72.0;65300;Fashion & Retail;Walmart;United States;Texas;Fort Worth;Crystal Bridges Museum of American Art;False;F;10/7/1949;Philanthropist;2.0
19;Rob Walton;77.0;65000;Fashion & Retail;Walmart;United States;Arkansas;Bentonville;Walmart;False;M;10/27/1944;Director;1.0
19;Changpeng Zhao;44.0;65000;Finance & Investments;cryptocurrency exchange;Singapore;;Singapore;;True;M;9/10/1977;;1.0
21;Charles Koch;86.0;60000;Diversified;Koch Industries;United States;Kansas;Wichita;Koch Industries;False;M;11/1/1935;CEO;2.0
21;Julia Koch & family;59.0;60000;Diversified;Koch Industries;United States;New York;New York;;False;F;4/12/1962;;2.0
23;Amancio Ortega;86.0;59600;Fashion & Retail;Zara;Spain;;La Coruna;;True;M;3/28/1936;;1.0
24;Michael Dell;57.0;55100;Technology;Dell computers;United States;Texas;Austin;Dell Inc.;True;M;2/23/1965;Chairman and CEO;2.0
25;Zhang Yiming;38.0;50000;Media & Entertainment;TikTok;China;;Beijing;ByteDance;True;M;1/1/1984;Founder;1.0
26;David Thomson & family;64.0;49200;Media & Entertainment;media;Canada;;Toronto;Thomson Reuters Corporation;False;M;6/12/1957;Chairman;1.0
27;Phil Knight & family;84.0;47300;Fashion & Retail;Nike;United States;Oregon;Hillsboro;Nike;True;M;2/24/1938;Chairman;2.0
28;Dieter Schwarz;82.0;47100;Fashion & Retail;retail;Germany;;Neckarsulm;;False;M;9/24/1939;;1.0
29;Robin Zeng;53.0;44800;Automotive;batteries;China;;Ningde;;True;M;1/1/1969;;1.0
30;MacKenzie Scott;51.0;43600;Technology;Amazon;United States;Washington;Seattle;;False;F;4/7/1970;Philanthropist;4.0
31;Rodolphe Saadé & family;52.0;41400;Logistics;shipping;France;;Marseille;CMA CGM;False;M;3/3/1970;Chairman and CEO;1.0
32;François Pinault & family;85.0;40400;Fashion & Retail;luxury goods;France;;Paris;;True;M;8/21/1936;;1.0
33;Klaus-Michael Kuehne;84.0;37300;Logistics;shipping;Switzerland;;Schindellegi;;False;M;6/2/1937;;1.0
34;Ma Huateng;50.0;37200;Technology;internet media;China;;Shenzhen;Tencent Holdings;True;M;10/29/1971;Chairman and CEO;1.0
35;Beate Heister & Karl Albrecht Jr. & family;;36800;Fashion & Retail;supermarkets;Germany;;;;False;;;;1.0
36;Giovanni Ferrero;57.0;36200;Food & Beverage;Nutella, chocolates;Belgium;;Brussels;;False;M;9/21/1964;;1.0
